Variable,Variable_Code,type,n,test,statistic,p_value,effect_size,effect_size_name,group_stats,n_categories,or,or_ci_low,or_ci_high,sig,p_formatted
Feeding route on Day 2,verilisyolu2.gun,categorical,1064,Chi-square,123.34326933733458,1.390505225974431e-19,0.2407531155738631,Cramér's V,,8.0,,,,***,<0.001
Breast milk ratio on Day 1,eng_bm_ratio_d1,continuous,1064,Kruskal-Wallis,85.52521321869546,2.681858857240844e-19,0.08045645646161378,ε²,"{1: {'mean': 0.55399066808108, 'sd': 0.461083952588048, 'median': 0.7575757346189171, 'n': 747}, 2: {'mean': 0.2752113830069058, 'sd': 0.38437164505878224, 'median': 0.04628143363366713, 'n': 280}, 3: {'mean': 0.06356307631701713, 'sd': 0.19478355645152184, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
Breast milk ratio on Day 3,eng_bm_ratio_d3,continuous,1064,Kruskal-Wallis,80.51584978321789,3.282504776333339e-18,0.07574397909992275,ε²,"{1: {'mean': 0.6144636123356755, 'sd': 0.43603661966093693, 'median': 0.9019607807766244, 'n': 747}, 2: {'mean': 0.3546791453473715, 'sd': 0.35337011001028606, 'median': 0.2475490184105015, 'n': 280}, 3: {'mean': 0.18465181542489092, 'sd': 0.37208965268681166, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
Place of birth,dogumyeri,categorical,1064,Chi-square,84.14595584363899,2.3021984107833472e-17,0.19885238867791621,Cramér's V,,3.0,,,,***,<0.001
Initial feeding route on Day 1,beslenmeninilkgunuverilisyolu,categorical,1064,Chi-square,90.34439848125993,4.2345695642211905e-14,0.2060462920663128,Cramér's V,,7.0,,,,***,<0.001
Breast milk ratio on Day 2,eng_bm_ratio_d2,continuous,1064,Kruskal-Wallis,60.55063105351891,7.105547202756443e-14,0.05696202356869136,ε²,"{1: {'mean': 206158.46772383677, 'sd': 4479062.32984833, 'median': 0.434782606805293, 'n': 747}, 2: {'mean': 21428.894785935077, 'sd': 222976.16031494597, 'median': 0.16666666550925924, 'n': 280}, 3: {'mean': 0.09351410928999836, 'sd': 0.22528239256823124, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
Colostrum present,Kolostrumvarligi,categorical,1064,Chi-square,45.946357177818875,1.054084208384785e-10,0.20780439485368557,Cramér's V,,2.0,4.429079816980173,2.541305451368226,7.7191618247305005,***,<0.001
Breast milk intake on Day 1 (binary),ilkgün_bebeğinannesütüalımı,categorical,1064,Chi-square,39.70727542092292,2.3860233896174612e-09,0.1931809200640872,Cramér's V,,2.0,1.5058066541117388,1.1264270326243333,2.0129609942727575,***,<0.001
Breast milk present on Day 1,ilk_gün_anne_sütü_1111,categorical,1064,Chi-square,38.92781046174364,3.5231680747677866e-09,0.19127542452692284,Cramér's V,,2.0,1.463977873848715,1.088699310190972,1.9686163066849502,***,<0.001
Baby-Friendly status (binary),bebekdostuoncesonra,categorical,1064,Chi-square,32.95911872485127,6.966558762363367e-08,0.17600174812457214,Cramér's V,,2.0,0.4382992534891269,0.32737213601298076,0.5868130316427072,***,<0.001
Baby-Friendly Hospital Initiative,bebek_dostu_20temmuz2018,categorical,1064,Chi-square,32.95911872485127,6.966558762363367e-08,0.17600174812457214,Cramér's V,,2.0,0.4382992534891269,0.32737213601298076,0.5868130316427072,***,<0.001
Breast milk intake on Day 3 (cc),aldıgıannesütü3.gun,continuous,1064,Kruskal-Wallis,32.78862013045996,7.58650247880754e-08,0.030845362305230443,ε²,"{1: {'mean': 105.44846050870147, 'sd': 134.08056862079252, 'median': 45.0, 'n': 747}, 2: {'mean': 81.81785714285714, 'sd': 110.7979482800199, 'median': 40.0, 'n': 280}, 3: {'mean': 27.35135135135135, 'sd': 76.39343202433346, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
Breast milk intake on Day 1 (cc),aldığıannesütü_ilkgün,continuous,1064,Kruskal-Wallis,32.271979807188316,9.822648987903585e-08,0.030359341304974898,ε²,"{1: {'mean': 42.7904953145917, 'sd': 95.44878097124356, 'median': 5.0, 'n': 747}, 2: {'mean': 31.491785714285715, 'sd': 67.67273586604499, 'median': 3.0, 'n': 280}, 3: {'mean': 7.1891891891891895, 'sd': 23.394963652981474, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
